Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_ALL	GO:0038023~signaling receptor activity	30	13.100436681222707	7.376104811730379E-6	ACVRL1, VIPR1, GPR26, LOC100227703, GPR83, ADRA1B, TRPM2, RXRA, GPR171, ADORA1, QRFPR, LOC100226496, FZD1, P2RY12, ACVR1, P2RY13, FZD3, GPR78, FZD4, PTCH1, P2RY14, FZD7, FZD6, FZD8, ESRRG, TGFBR1, ADORA2A, ADORA2B, BMPR1B, BMPR1A	150	204	2437	2.3892156862745098	0.0027033797196150955	0.0027144065707167793	0.002648021627411206
GOTERM_MF_ALL	GO:0004871~signal transducer activity	31	13.537117903930133	2.250841745245642E-5	ACVRL1, VIPR1, GPR26, LOC100227703, GPR83, ADRA1B, TRPM2, RXRA, GPR171, ADORA1, QRFPR, LOC100226496, FZD1, P2RY12, ACVR1, P2RY13, FZD3, GPR78, FZD4, PTCH1, P2RY14, FZD7, FZD6, FZD8, ESRRG, TGFBR1, NR5A2, ADORA2A, ADORA2B, BMPR1B, BMPR1A	150	227	2437	2.2187077826725403	0.00822665649408827	0.0041415488112519815	0.0040402609327159274
GOTERM_MF_ALL	GO:0042813~Wnt-activated receptor activity	6	2.6200873362445414	3.8577102246891164E-5	FZD1, FZD3, FZD4, FZD7, FZD6, FZD8	150	8	2437	12.185	0.014058315477646688	0.004732124542285316	0.004616393235544643
GOTERM_MF_ALL	GO:0004888~transmembrane signaling receptor activity	27	11.790393013100436	7.515296789629961E-5	ACVRL1, VIPR1, GPR26, GPR83, ADRA1B, TRPM2, GPR171, ADORA1, QRFPR, LOC100226496, FZD1, P2RY12, ACVR1, P2RY13, FZD3, GPR78, FZD4, PTCH1, P2RY14, FZD7, FZD6, FZD8, TGFBR1, ADORA2A, ADORA2B, BMPR1B, BMPR1A	150	195	2437	2.2495384615384615	0.027205260792710573	0.005232140702142846	0.005104180739318701
GOTERM_MF_ALL	GO:0035586~purinergic receptor activity	6	2.6200873362445414	8.253045943714496E-5	P2RY12, P2RY13, ADORA2A, ADORA2B, P2RY14, ADORA1	150	9	2437	10.831111111111111	0.029835785536153625	0.005232140702142846	0.005104180739318701
GOTERM_MF_ALL	GO:0060089~molecular transducer activity	30	13.100436681222707	9.95244155298911E-5	ACVRL1, VIPR1, GPR26, LOC100227703, GPR83, ADRA1B, TRPM2, RXRA, GPR171, ADORA1, QRFPR, LOC100226496, FZD1, P2RY12, ACVR1, P2RY13, FZD3, GPR78, FZD4, PTCH1, P2RY14, FZD7, FZD6, FZD8, ESRRG, TGFBR1, ADORA2A, ADORA2B, BMPR1B, BMPR1A	150	233	2437	2.0918454935622317	0.03586820624962228	0.005232140702142846	0.005104180739318701
GOTERM_MF_ALL	GO:0004872~receptor activity	30	13.100436681222707	9.95244155298911E-5	ACVRL1, VIPR1, GPR26, LOC100227703, GPR83, ADRA1B, TRPM2, RXRA, GPR171, ADORA1, QRFPR, LOC100226496, FZD1, P2RY12, ACVR1, P2RY13, FZD3, GPR78, FZD4, PTCH1, P2RY14, FZD7, FZD6, FZD8, ESRRG, TGFBR1, ADORA2A, ADORA2B, BMPR1B, BMPR1A	150	233	2437	2.0918454935622317	0.03586820624962228	0.005232140702142846	0.005104180739318701
GOTERM_MF_ALL	GO:0004675~transmembrane receptor protein serine/threonine kinase activity	5	2.1834061135371177	1.8300498843128724E-4	ACVRL1, ACVR1, BMPR1B, TGFBR1, BMPR1A	150	6	2437	13.53888888888889	0.06496281185818964	0.008418229467839213	0.008212348855854016
GOTERM_MF_ALL	GO:0099600~transmembrane receptor activity	27	11.790393013100436	2.4483808793215704E-4	ACVRL1, VIPR1, GPR26, GPR83, ADRA1B, TRPM2, GPR171, ADORA1, QRFPR, LOC100226496, FZD1, P2RY12, ACVR1, P2RY13, FZD3, GPR78, FZD4, PTCH1, P2RY14, FZD7, FZD6, FZD8, TGFBR1, ADORA2A, ADORA2B, BMPR1B, BMPR1A	150	209	2437	2.098851674641148	0.08594686998751477	0.010011157373225976	0.009766319285293819
GOTERM_BP_ALL	GO:0007156~homophilic cell adhesion via plasma membrane adhesion molecules	9	3.9301310043668125	2.631548519284434E-4	LOC100229528, PCDH10, PCDH8, LOC100229630, LOC100220115, LOC115497045, PCDH12, LOC105759510, PCDH18	107	34	2012	4.977460142935678	0.4502159396576745	0.5978878235814234	0.5978878235814234
